"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","649","test_to_get_info","hw9","Thu Feb 27 15:51:58 GMT+04:00 2025","passed","Thu Feb 27 15:51:58 GMT+04:00 2025","","test_employee_db11","",""
"","0","test_starts_with_success[apple-e]","homework","Thu Feb 27 15:47:01 GMT+04:00 2025","passed","Thu Feb 27 15:47:01 GMT+04:00 2025","","test_string_utils","",""
"","0","test_starts_with_success[apple-a]","homework","Thu Feb 27 15:47:01 GMT+04:00 2025","passed","Thu Feb 27 15:47:01 GMT+04:00 2025","","test_string_utils","",""
"","97","test_create_company","hw8","Thu Feb 27 15:51:55 GMT+04:00 2025","passed","Thu Feb 27 15:51:55 GMT+04:00 2025","","test_requests","",""
"","109","test_get_companies","мое","Thu Feb 27 15:52:01 GMT+04:00 2025","broken","Thu Feb 27 15:52:02 GMT+04:00 2025","","test_x_clients_db","",""
"","77496","test_cart_counter","hw7","Thu Feb 27 15:48:15 GMT+04:00 2025","passed","Thu Feb 27 15:49:32 GMT+04:00 2025","","labirint_page_object_test","",""
"","1","test_get_one_company","мое","Thu Feb 27 15:52:02 GMT+04:00 2025","broken","Thu Feb 27 15:52:02 GMT+04:00 2025","","test_x_clients_db","",""
"","0","test_parse_json","hw8","Thu Feb 27 15:51:54 GMT+04:00 2025","passed","Thu Feb 27 15:51:54 GMT+04:00 2025","","test_json_parse","",""
"","694","test_edit_employee","hw8.tasks","Thu Feb 27 15:51:53 GMT+04:00 2025","passed","Thu Feb 27 15:51:54 GMT+04:00 2025","","test_employee","",""
"","69356","test_cart_counter","hw7","Thu Feb 27 15:49:32 GMT+04:00 2025","passed","Thu Feb 27 15:50:42 GMT+04:00 2025","","labirint_test","",""
"","138","test_get_one_company","hw8","Thu Feb 27 15:51:55 GMT+04:00 2025","passed","Thu Feb 27 15:51:56 GMT+04:00 2025","","test_x_clients","",""
"","0","test_update_company","мое","Thu Feb 27 15:52:01 GMT+04:00 2025","broken","Thu Feb 27 15:52:01 GMT+04:00 2025","","test_database","",""
"","666","test_deactivate","hw8","Thu Feb 27 15:51:57 GMT+04:00 2025","passed","Thu Feb 27 15:51:58 GMT+04:00 2025","","test_x_clients","",""
"","3","test_select_one_row","мое","Thu Feb 27 15:52:00 GMT+04:00 2025","broken","Thu Feb 27 15:52:00 GMT+04:00 2025","","test_database","",""
"","0","test_capitilize_success","homework","Thu Feb 27 15:47:01 GMT+04:00 2025","passed","Thu Feb 27 15:47:01 GMT+04:00 2025","","test_string_utils","",""
